Fuente;Evento;Etapa;Nivel;Edad;Dispositivo;Titulo;Enlace;Etiquetas;Transcripcion;Descripcion
EFECODES2025;Acciones para cuidar el planeta;Infantil;2º ciclo Infantil;3-5 años;Actividad desconectada;AVENTURA EN EL BOSQUE BRILLANTE;https://view.genially.com/69402ab8a20479a456668045/interactive-content-aventura-en-el-bosque-brillante;Educación Infantil, Actividad desconectada, Medioambiente, Sostenibilidad, Fomento de la lectura, Programación, Pensamiento computacional, EFECODES;"AVENTURA EN EL BOSQUE BRILLANTE

Contacto

Difunde y comparte el trabajo en el aula con el hashtag #efecodes40

Dispositivo

Etapa

Evento

ACCIONES PARA CUIDAR EL PLANETA
Actividades Desconectadas

EDUCACIÓN INFANTIL

Desarrollo

Descripción

Recursos para implementarla

Experiencias en centros

+ info

+ info

+ info

+ info

Servicio de Innovación educativa de JCCM
Descripción de la actividad

La actividad ""Aventura en el Bosque Brillante"" es una propuesta del Servicio de Innovación Educativa de JCCM que tiene como objetivo utilizar Actividades Desconectadas para trabajar el pensamiento computacional y contenidos relacionados con los tres ámbitos de Educación infantil, con un planteammiento activo, atractivo y gamificado. Además, se desarrolla la concienciación medioambiental, el cuidado del entorno e inculcar a edades tempranas hábitos de desarrollo sostenible. Propone una serie de actividades para aumentar el conocimiento sobre los procesos de reciclaje y la manera de hacerlo correctamente.

Realizado por jjtg17@educastillalamancha.es

Contacto

nombre@mail.com

innovacion.edu@jccm.es
Recursos materiales
Cody Feet
Material impreso
Panel interactivo
Guía programación

Experiencias en el aula compartidas por los centros CON EL HASHTAG #EFECODES40
Estarán disponibles en breve
Desarrollo de la actividad

Vamos a realizar tres actividaes desconectadas relacionadas con el reciclaje y la forma de realizarlo utilizando correctamente los contenedores de colores. Como hilo conductor utilizamos un cuento en el que se produce una situación accidental por culpa de la cantidad de basura que hay en el bosque. A partir de ahí debemos comenzar a resolver tres retos basados en las dimensiones del pensamiento computacional. Se puede adaptar a los tres niveles de infantil y abarca todos los ámbitos.

Primer paso. Lectura o reproducción del cuento. También hay una versión en inglés. Segundo paso. Realización de un puzle con piezas en forma de bloques, colocando correctamente cada escena descrita para realizar el itinerario del cuento. Tercer paso. Mediante el Cody Feet vamos a relacionar un material que obtenemos de la baraja, con el contenedor al que debemos llevarlo para reciclarlo. Cuarto paso. Vamos a mover el esqueleto con la ""Marcha del planeta feliz"". Animada canción en la que se promociona el reciclaje y que vamos a asociar los versos a unos movimientos corporales.";Vamos a realizar tres actividaes desconectadas relacionadas con el reciclaje y la forma de realizarlo utilizando correctamente los contenedores de colores. Como hilo conductor utilizamos un cuento en el que se produce una situación accidental por culpa de la cantidad de basura que hay en el bosque.
EFECODES2025;Acciones para cuidar el planeta;"Infantil; E. Especial";"2º ciclo Infantil; EBO";3-5 años;Bluebot;LA TIERRA ES NUESTRA CASA;https://view.genially.com/6997a9047e99886be5323358/interactive-content-la-tierra-es-nuestra-casa-hay-que-cuidarla;Educación Infantil, Bluebot, Medioambiente, Sostenibilidad, Fomento de la lectura, Robótica educativa, Pensamiento computacional, EFECODES;"LA TIERRA ES NUESTRA CASA: ¡HAY QUE CUIDARLA!

Contacto

DIFUNDE Y COMPARTE EL TRABAJO EN EL AULA CON EL HASHTAG #EFECODES40

Dispositivo

Nivel y etapa

Evento

BLUEBOT

Días Internacionales del Cuidado del Bosque, del Agua y del Clima

Ed. Infantil y EE.

Desarrollo

Descripción

Recursos para implementarla

Evidencias

+ info

+ info

+ info

+ info

Servicio de Innovación educativa de JCCM
Descripción de la actividad

La actividad “La Tierra es nuestra casa: ¡hay que cuidarla!”, propuesta por el Servicio de Innovación Educativa de la JCCM, tiene como objetivo iniciar al alumnado de Educación Infantil en el pensamiento algorítmico y la resolución de problemas de manera lúdica, fomentando el pensamiento lógico e integrándolo con la Educación Ambiental. Mediante el uso del robot Bluebot y mediante una metodología activa y participativa, se trabajan las bases del pensamiento computacional (descomposición, reconocimiento de patrones, abstracción y secuenciación), al tiempo que el alumnado identifica buenas prácticas para el cuidado del agua y las plantas y desarrolla una actitud responsable y sostenible hacia el medio ambiente.
Realizada por Marino del Saz García

Contacto

nombre@mail.com

Para cualquier duda, contacta con tu DTDR de referencia.
Recursos materiales
Adaptaciones para alumnos ACNEAE
Tapete Bluebot
Guía
Robot Bluebot
Estarán disponibles en breve
Desarrollo de la actividad

Primer paso. Presentación del cuento motivador ""Los pequeños guardianes de la Tierra"", donde: El Bosque está triste porque le quitan hojas, el Agua llora porque la desperdician, y los niños y las niñas se convierten en guardianes de la Naturaleza.

Segundo paso. Exploración guiada del tapete y del Bluebot, para reconocer los elementos del tapete y familiarizarse con el robot.

Tercer paso. Realizaciones de misiones sencillas: ¿Dónde debe ir Bluebot para cuidar el planeta?

Cuarto paso. Desafío final en equipo: “Guardianes de la naturaleza”";"Primer paso. Presentación del cuento motivador ""Los pequeños guardianes de la Tierra"", donde: El Bosque está triste porque le quitan hojas, el Agua llora porque la desperdician, y los niños y las niñas se convierten en guardianes de la Naturaleza. Segundo paso."
EFECODES2025;Acciones para cuidar el planeta;Infantil;2º ciclo Infantil;3-5 años;mTiny;EL GUARDIÁN DE LOS BOSQUES.;https://view.genially.com/69957c6cc72a46517cffc3f7/interactive-content-el-guardian-de-los-bosques;Educación Infantil, mTiny, Medioambiente, Sostenibilidad, Robótica educativa, Programación, EFECODES;"EL GUARDIÁN DE LOS BOSQUES.

Contacto

Recurso

Nivel y etapa

Evento

Día internacional de los bosques 21 de marzo

EDUCACIÓN INFANTIL

mTiny

Desarrollo

Descripción

Recursos para implementarla

Evidencias

+ info

+ info

+ info

+ info

Servicio de Innovación educativa de JCCM
Descripción de la actividad

La actividad ""El Guardián de los bosques"" es una propuesta del Servicio de Innovación Educativa de JCCM que tiene como objetivos:

    Favorecer el acercamiento del alumnado al conocimiento y respeto del entorno natural.

    Desarrollar actitudes de cuidado, observación y admiración por los árboles y los bosques.
    Introducir conceptos básicos de programación por direcciones mediante el uso del robot mTiny.
    Reforzar habilidades de trabajo en equipo, comunicación y toma de decisiones.
    Potenciar la expresión oral y la comprensión de mensajes e instrucciones.
    Promover la autonomía y el pensamiento lógico a través del juego.

La actividad contiene su guía de puesta en marcha, con paso a paso, así como propuestas de pequeños desafíos al alumnado.

Actividad realizada por Francisco José Calvo Leytón. Logo Día Internacional del bosque: pikisuperstar en Freepik Arbol aislado sobre fondo blanco: brgfx en Freepik

Contacto

nombre@mail.com

Para cualquier duda, contacta con tu DTDR de referencia.
Recursos materiales
Imágenes Asamblea, tapetes y pegatinas misiones
Robot mTiny
Tarjetas de programación
Guía programación
Imágenes tapete
Estarán disponibles en breve
Desarrollo de la actividad

Esta actividad propone que el alumnado acompañe al robot mTiny en una aventura por el bosque. A lo largo del recorrido, mTiny deberá superar 3 pequeños retos hilados y consecutivos relacionados con el cuidado de la naturaleza: apagar un incendio en el bosque, recoger basura y regar árboles. La actividad se divide en tres fases esenciales: 1. Contextualización: La actividad debe iniciarse en la asamblea, mostrando dos imágenes de los bosques totalmente contrapuestas: Bosque limpio/ Bosque contaminado,. 2. Adjudicación del Reto: El recorrido de mTiny por el bosque. Se coloca el tapete en el suelo,, simulando distintos espacios, que irán encadenados para hacer los retos consecutivos; y el alumnado deberá programar al robot para superar las misiones. 3. Reflexión final.";Esta actividad propone que el alumnado acompañe al robot mTiny en una aventura por el bosque. A lo largo del recorrido, mTiny deberá superar 3 pequeños retos hilados y consecutivos relacionados con el cuidado de la naturaleza: apagar un incendio en el bosque, recoger basura y regar árboles.
EFECODES2025;Acciones para cuidar el planeta;Infantil;2º ciclo Infantil;3-5 años;Scratch Jr;Los Cuidadores del Bosque y del Agua;https://view.genially.com/6992441a6a5bd45c707120ce/interactive-content-los-cuidadores-del-bosque-y-del-agua;Educación Infantil, Scratch Jr, Medioambiente, Programación, Pensamiento computacional, Actividad desconectada, EFECODES;"Los Cuidadores del Bosque y del Agua

Contacto
DIFUNDE Y COMPARTE EL TRABAJO EN EL AULA CON EL HASHTAG #EFECODES40

Recurso

Nivel y etapa

Evento

Scratch JR

Educación Infantil - 3, 4 y 5 años

Marzo. Mes del Plateta.Agua y Bosques

Desarrollo

Descripción

Recursos para implementarla

Evidencias

+ info

+ info

+ info

+ info

Servicio de Innovación educativa de JCCM
Los Cuidadores del Bosque y del Agua

Contacto
Ficheros *.sbj listos para usar e Instrucciones.

5años-ScJ.sjr

3años-ScJ.sjr

4años-ScJ.sjr

Instruciones

Servicio de Innovación educativa de JCCM
Descripción de la actividad

La actividad “Los Cuidadores del Bosque y del Agua” es una propuesta del Servicio de Innovación Educativa de JCCM que tiene como objetivos:

    Desarrollar actitudes de respeto, cuidado y protección del entorno natural.
    Comprender que nuestras acciones (reducir residuos, ahorrar agua, cuidar plantas, respetar a los animales…) contribuyen al bienestar del planeta.
    Aprender, a través del Pensamiento Computacional a organizar acciones, resolver problemas sencillos y crear secuencias que representen buenas prácticas ambientales.

La actividad contiene su guía didáctica y los materiales necesarios para llevar a cabo este reto en la sección de ""Recursos para Implementarla"" de este Genially.

Actividad realizada por Enrique Molina Díaz. Logo Día Internacional del bosque: pikisuperstar en Freepik Logo Día del Agua. Creado con Edit.org. Arbol aislado sobre fondo blanco: brgfx en Freepik

Contacto

nombre@mail.com

Para cualquier duda, contacta con tu DTDR de referencia.

Contacto

nombre@mail.com

Para cualquier duda, contacta con tu DTDR de referencia.
Recursos materiales
Tablets
Presentación para Pizarra Digital Interactiva
Ficheros *.sbj e instrucciones paso a paso
Guía programación
Material Imprimible.

Con

Instalado

Pulsa para ir a las descargas
Estarán disponibles en breve
Desarrollo de la actividad

Os proponemos la siguiente secuencia:

    Actividad 1: Exploración del entorno. Conectamos con el entorno real. Dialogaremos con los alumn@s haciéndoles preguntas de este tipo ""¿Qué necesitan los bosques?"", ""¿Cómo podemos cuidar el agua?"". Clasificamos elementos en ""vivos"" y ""no vivos""
    Actividad 2: Juego simbólico de acciones que cuidan o no cuidan/dañan el agua o los bosques. Aquí daremos opción a hacer esta actividad de forma conectada (actividad desarrollada en Genially) o desconectada mediante tarjetas. Clasificamos acciones para distinguir aquellas que cuidan el bosque y el agua de las que no.
    Actividad 3: Programación en Scratch Jr por niveles (3, 4 y 5 años). El proyecto lo llamaremos ""Soy el Guardián del Agua y del Bosque"". Propuesta:
            3 años: 2-3 bloques de movimiento.
            4 años: 4-5 bloques de movimiento sorteando un obstáculo.
            5 años: Elegimos un problema mediambiental, elegimos personaje/s, programamos la solución.

    Actividad 4: Cierre creativo con compromisos ambientales: Propuestas para finalizar el reto (dibujo, asamblea, foto de la actividad....)

El desarrollo de estas 4 actividades se explica con mayor detalle en la guía didáctica que encontraréis en la siguiente sección y los materiales imprimibles para desarrollarla.";"Actividad 1: Exploración del entorno. Conectamos con el entorno real. Dialogaremos con los alumn@s haciéndoles preguntas de este tipo ""¿Qué necesitan los bosques?"", ""¿Cómo podemos cuidar el agua?"". Clasificamos elementos en ""vivos"" y ""no vivos"" Actividad 2: Juego simbólico de acciones que cuidan o…"
EFECODES2025;Acciones para cuidar el planeta;Primaria;"Primer ciclo; Segundo ciclo; Tercer ciclo";6-12 años;Actividad desconectada;Ritmos por el planeta;https://view.genially.com/698da9e99a2275d9623dad14/interactive-content-ritmos-por-el-planeta;Educación Primaria, Actividad desconectada, Sostenibilidad, Programación, Pensamiento computacional, EFECODES;"Ritmos por el planeta

Contacto

DIFUNDE Y COMPARTE EL TRABAJO EN EL AULA CON EL HASHTAG #EFECODES40

Recurso

Nivel y etapa

Evento

Marzo""Mes del planeta"" Sostenibilidad y cuidado del planeta

PRIMARIA Multinivel Música

Pensamiento comutacional Actividad desconectada

Experiencias en centros:

Desarrollo

Descripción

Recursos para implementarla

+ info

+ info

+ info

+ info

Servicio de Innovación educativa de JCCM
Descripción de la actividad

La actividad ""Ritmos por el planeta"" es una propuesta del Servicio de Innovación Educativa de JCCM que tiene como objetivos: - Concienciar en el cuidado del planeta a través de un buen reciclaje- Trabajar el pensamiento computacional con los alumnos a través de una actividad desconectada:• Descomposición: Dividir la gestión de residuos en pasos rítmicos individuales. • Algoritmos: El orden de las tarjetas define el sonido final. • Bucles: Repetir la secuencia musical a lo largo de la canción. La actividad contiene su guía de puesta en marcha, con paso a paso, así como las fichas para imprimir y todo el material necesario.Es una actividad multinivel para primaria con opciones de ampliación.
Actividad realizada por Javier Sanz Segoviano Mes de marzo ""Cuidado del planeta""

Contacto

nombre@mail.com

Para cualquier duda, contacta con tu DTDR de referencia.
Recursos materiales
Guía actividad
Material para imprimir
Experiencias compartidas por los centros con el hashtag #EFECODES40
Desarrollo de la actividad

En esta actividad, los alumnos actuarán como programadores y ejecutores de una secuencia rítmica que ayuda a limpiar un entorno natural. Trabajaremos el pensamiento computacional de una manera desconectada, sin pantallas ni dispositivos. A través de un juego e introduciendo la variable del azar de unos dados los alumnos trabajan la algoritmia (secuencias de pasos) y el reconocimiento de patrones. Primero: Dividimos la clase en pequeño grupo. Cada grupo dispone de una ficha para ordenar la secuencia rítmica y de una baraja con los objetos de reciclaje Segundo: Una vez ordenados, los alumnos tienen que ejecutar el ritmo correctamente en forma de bucle (ostinato) con las partes del cuerpo asociadas a esos elementos de reciclaje. Tercero: Se puede ejecutar el rimo con un fondo musical. Cuarto: se puede ampliar escribiendo el rimo y variando las figuras musicales (blanca, negra, corchea...) Quinto: Se puede ampliar realizando la secuencia rítmica con instrumentos de percusión que incluso podemos construir con objetos de reciclaje.";En esta actividad, los alumnos actuarán como programadores y ejecutores de una secuencia rítmica que ayuda a limpiar un entorno natural. Trabajaremos el pensamiento computacional de una manera desconectada, sin pantallas ni dispositivos.
EFECODES2025;Acciones para cuidar el planeta;Primaria;"Primer ciclo; Segundo ciclo; Tercer ciclo";6-12 años;Scratch Jr;¡ PROGRAMA TU BOSQUE !;https://view.genially.com/69844141e1c152b6dc3ce991/interactive-content-programa-tu-bosqueprimaria;Educación Primaria, Scratch Jr, Medioambiente, Cultura y patrimonio de CLM, Programación, Pensamiento computacional, EFECODES;"¡ PROGRAMA TU BOSQUE !

Contacto

DIFUNDE Y COMPARTE EL TRABAJO EN EL AULA CON EL HASHTAG #EFECODES40

ACTIVIDADES: LENGUAJE DE PROGRAMACIÓN CON Scratch JUNIOR

Nivel y Etapa

Efeméride

PRIMARIA- 1er CICLO - 2º CICLO - 3er CICLO

DÍA INTERNACIONAL DE LOS BOSQUES

Imagen de pikisuperstar en Freepik

Desarrollo

Descripción

Recursos para implementarla

Evidencias

+ info

+ info

+ info

+ info

Servicio de Innovación educativa de JCCM
Descripción de la actividad

La actividad de LENGUAJE DE PROGRAMACIÓN es una propuesta del Servicio de Innovación Educativa de JCCM que tiene como objetivo Desarrollar el pensamiento Computacional en primaria.
El Día Internacional de los Bosques es una jornada conmemorativa que se celebra anualmente el primer 21 de marzo desde 2013, establecida por Asamblea General de las Naciones Unidas el 21 de diciembre de 2012. Dentro del Currículo de Primaria, siguiendo el D81/2022 de CLM, se trabaja en diferentes áreas: CONOCIMIENTO DEL MEDIO/SABERES BÁSICOS/ BLOQUE A. Cultura Científica: La vida en nuestro pLaneta. y Bloque B. Tecnología y Digitalización: 2. Proyectos de diseño y pensamiento computacional. Competencia Específica 3: Resolver problemas a través de proyectos de diseño y de la aplicación del pensamiento y/o computacional, para generar cooperativamente un producto creativo e innovador que responda a necesidades concretas. También se trabajan los ODS : Realizaremos una animación con Scratch Junior relacionada con la temática de los Bosques para así conocer 4 especies de árboles autóctonos de nuestra región, Castilla La Mancha. Realizado por Sérvulo Muñoz

Contacto

nombre@mail.com

Contactar con su DTDR de referencia
Recursos materiales
Tablet u Ordenador
Scratch JR
Guía avanzada
Guía desde cero
Instalado en la tablet y desde el ordenador tiene que ser desde este enlace:

https://codejr.org/scratchjr/index.html
Estarán disponibles en breve
Desarrollo de la actividad

El alumnado trabajará individualmente desde una tablet (App Scratch Junior) u ordenador (Scratch Jr for web: https://codejr.org/scratchjr/index.html

Primer paso. Instrucciones desde Scratch Jr para la creación de escenarios y personajes.

Segundo paso. Con todos los escenarios y objetos, programar para movimientos, diálogos y transición entre diferentes escenarios o escenas.

Tercer paso. Reproducir el modelo completo y guardar el proyecto.

Cuarto paso. Exponerlo en clase y recibir la ovación de tus compañeros.";El alumnado trabajará individualmente desde una tablet (App Scratch Junior) u ordenador (Scratch Jr for web: https://codejr.org/scratchjr/index.html Primer paso. Instrucciones desde Scratch Jr para la creación de escenarios y personajes. Segundo paso.
EFECODES2025;Acciones para cuidar el planeta;Primaria;Tercer ciclo;10-12 años;Lego Spike;TERMÓMETRO MUNDIAL LEGO;https://view.genially.com/69974bb9e45083d2c5605466/interactive-content-termometro-mundial-lego;Educación Primaria, Lego Spike, Medioambiente, Sostenibilidad, Robótica educativa, Programación, Pensamiento computacional, EFECODES;"TERMÓMETRO MUNDIAL LEGO

Contacto
DIFUNDE Y COMPARTE EL TRABAJO EN EL AULA CON EL HASHTAG #EFECODES40

Dispositivo

Etapa

Evento

MES DEL PLANETA

2º Y 3º CICLO DE PRIMARIA

Desarrollo

Descripción

Recursos para implementarla

Experiencias en centros

+ info

+ info

+ info

+ info

Servicio de Innovación educativa de JCCM

#EFECODES40
Descripción de la actividad

La actividad Termómetro mundial Lego es una propuesta del servicio de Innovación de Educativa de JCCM que tiene como objetivos:

    Potenciar el pensamiento computacional como estrategia de resolución de problemas más allá de la robótica y la programación.
    Concienciar sobre la importancia de la protección medioambiental y el comportamiento sostenible.
    Mejorar los conocimientos sobre meteorología y la gestión de datos sobre el clima
    Comprender y programar cómo se reliza un automatismo en el mundo real.
    Aprender a trabajar en equipo repartiendo roles y responsabilizándose del trabajo propio y del grupal

Actividad realizada por Antonio A. Miñán Ortega. Logo Día Meteorológico Internacional obtenida de https://fundacion-biodiversidad.es/ Imágenes de Lego Spike obtenidas de la web oficial de lego education Fotos y vídeo del proyecto e instalación, del autor. Dominio público.

Contacto

nombre@mail.com

Para cualquier duda contacta con tu DTDR de referencia
Recursos materiales
Plataforma de programacón Lego Spike prime
Guía docente y alumnado
Lego Spike Prime
Ordenador o tablet
Estarán disponibles en breve
Desarrollo de la actividad

Vamos a construir un termómetro mundial con lego. Haremos un soporte para un motor al que le pondremos una especie de manecilla de reloj. A continuación, imprimiremos un dial para que esa manecilla marque la temperatura que hace en un lugar del mundo. Para poder obtener esos datos usaremos una extensión de la plataforma de Lego Spike que se llama “Gestor de clima” y que conecta con el servicio meteorológico para darnos datos de todo el plantea solo indicando la ubicación.

Primer paso. Construir el termómetro con piezas de lego spike prime siguiendo los pasos que indican en la guía e imprimir y recortar el dial. Segundo paso. Programar el funcionamiento del termómetro usando bloques del ""gestor de clima"" y ""movimiento de motores"" Tercer paso.Probar con diferentes ubicaciones del planeta para comprobar las diferencias de temperatura en distintas latitudes. Si os animás, haced las mejoras que se proponen en la guía.";Vamos a construir un termómetro mundial con lego. Haremos un soporte para un motor al que le pondremos una especie de manecilla de reloj. A continuación, imprimiremos un dial para que esa manecilla marque la temperatura que hace en un lugar del mundo.
EFECODES2025;Acciones para cuidar el planeta;Primaria;Tercer ciclo;10-12 años;Lego Spike;EL ROBOT PREVISOR;https://view.genially.com/6996cf6e85d88a6b8220fe77/interactive-content-el-robot-previsor;Educación Primaria, Lego Spike, Medioambiente, Robótica educativa, Programación, EFECODES;"EL ROBOT PREVISOR

Contacto

Recurso

Nivel y etapa

Evento

Día meteorológico mundial 23 de marzo

3º CICLO PRIMARIA

LEGO SPIKE PRIME

Desarrollo

Descripción

Recursos para implementarla

Evidencias

+ info

+ info

+ info

+ info

Servicio de Innovación educativa de JCCM
Descripción de la actividad

Cada 23 de marzo se celebra el Día Meteorológico Mundial (DMM) para conmemorar la entrada en vigor, en 1950, del Convenio por el que se estableció la Organización Meteorológica Mundial. Esta conmemoración pone de relieve la contribución fundamental que aportan los Servicios Meteorológicos e Hidrológicos Nacionales (SMHN) a la seguridad y al bienestar de la sociedad, y se celebra mediante diversas actividades en todo el mundo. ?? Descripción Construcción y programación de un robot LEGO Spike Prime que consulta el pronóstico del tiempo de cualquier ciudad en Internet. El robot reacciona físicamente a estos datos: se pone gafas de sol si está despejado o levanta un paraguas si llueve. ?? Objetivo Principal Introducir el Internet de las Cosas (IoT) creando un robot que toma decisiones automáticas en el mundo físico basándose en datos extraídos de la nube. ?? Objetivos Específicos Programación: Aplicar estructuras condicionales (Si... Si no). Manejo de Datos: Integrar información meteorológica en tiempo real dentro del código. Mecánica: Modificar un diseño base añadiendo nuevos mecanismos (gafas/paraguas) y calibrar el motor. Contexto: Relacionar la tecnología y la automatización con la adaptación climática.
Actividad realizada por Alberto Machado Vílchez Logo Día Meteorológico Mundial. Gemini 3,0 Nano Banana Pro Arbol aislado sobre fondo blanco: brgfx en Freepik

Contacto

nombre@mail.com

Para cualquier duda, contacta con tu DTDR de referencia.
Recursos materiales
Plataforma de programación Lego Spike Prime
Ordenador o tableta
Guía docente
Lego Spike
Estarán disponibles en breve
Desarrollo de la actividad

Comenzaremos con una introducción para explicar el impacto de los climas en nuestro ecosistema y la necesidad que tenemos de preverlos, entenderlos y fomentar su buena adaptación. Acto seguido, haremos un repaso sobre los conceptos básicos de Spike, conexión a Internet y motores. Seguidamente los alumnos realizarán el montaje físico del robot. Continuaremos con la programación del mismo utilizando la extensión de clima de tal manera que el robot sea capaz de leer el tiempo de forma autónoma usando internet. Por último, introduciremos cambios de ciudad en el código y programaremos el robot para que se ponga sus gafas y nos avise de su pronóstico. Al lograrlo tendremos la oportunidad de evitar mojarnos. Como reto, propondremos mejorar el código introduciendo otras variables de temperatura (grados).";Comenzaremos con una introducción para explicar el impacto de los climas en nuestro ecosistema y la necesidad que tenemos de preverlos, entenderlos y fomentar su buena adaptación. Acto seguido, haremos un repaso sobre los conceptos básicos de Spike, conexión a Internet y motores.
EFECODES2025;Acciones para cuidar el planeta;Secundaria;"ESO; Bachillerato";12-18 años;Actividad desconectada;INGENIERÍA INVERSA DE UNA HAMBURGUESA;https://view.genially.com/698a1e2df9079c5572895b12/interactive-content-ingenieria-inversa-de-una-hamburguesa;Educación Secundaria, Actividad desconectada, Medioambiente, Sostenibilidad, Robótica educativa, Programación, Pensamiento computacional, Trabajo cooperativo, STEAM, EFECODES;"INGENIERÍA INVERSA DE UNA HAMBURGUESA

Contacto

DIFUNDE Y COMPARTE EL TRABAJO EN EL AULA CON EL HASHTAG #EFECODES40

Dispositivo

Etapa

Evento

PENSAMIENTO COMPUTACIONAL

DÍA DE LOS BOSQUES21 DE MARZO

ESO y BACHILLERATO

Desarrollo

Descripción

Recursos para implementarla

Experiencias en centros

+ info

+ info

+ info

+ info

Servicio de Innovación educativa de JCCM
Descripción de la actividad

La actividad Ingeniería inversa de una hamburguesa es una propuesta del servicio de Innovación de Edcuativa de JCCM que tiene como objetivos:

    Potenciar el pensamiento computacional como estrategia de resolución de problemas más allá de la robótica y la programación.
    Comprender todos los procesos implicados en la elaboración de un producto apolucando estragtegias de descomposición, análisis de datos
    Fomentar la creatividad proponiendo nuevas soluciones a un problema vinculado con la huella de carbono y el coste medioambiental de la producción industrial
    Aprender a trabajar en equipo repartiendo roles y responsabilizándose del trabajo propio y del grupal

Actividad realizada por Antonio A. Miñán Ortega. Logo Día Internacional del bosque: pikisuperstar en Freepik Imagen ingeniería inversa de una hamburguesa creada con nano banan pro. Dominio Público

Contacto

nombre@mail.com

Para cualquier duda contacta con tu DTDR de referencia
Recursos materiales
Tablet u ordenador
Guía docente
Cuaderno de equipo para el alumnado

    Versión digital

    Versión imprimible

Estarán disponibles en breve
Desarrollo de la actividad

El alumnado va a investigar cómo se fabrica una hamburguesa hacia atrás, partiendo del producto terminado hasta sus últimos componentes y procesos. El objetivo es rediseñarla y crear una versión 2.0: más barata, más sostenible y con menos impacto en el planeta.

Primer paso. Creación de equipos 1. Liderazgo y coordinación 2. Ingeniería de procesos: Investiga de qué está hecha la hamburguesa y cómo se fabrica paso a paso. 3. Calcula cuánto cuesta (dinero y recursos) y cuánta agua/energía gastamos. 4. Diseño de Soluciones: Propone ideas creativas para mejorar el producto final.

Segundo paso. Investigar por roles y cumplimentar el cuaderno de equipo

Tercer paso. Poner en común en el aula los diferentes análisis y prouestas";El alumnado va a investigar cómo se fabrica una hamburguesa hacia atrás, partiendo del producto terminado hasta sus últimos componentes y procesos. El objetivo es rediseñarla y crear una versión 2.0: más barata, más sostenible y con menos impacto en el planeta. Primer paso. Creación de equipos 1.
EFECODES2025;Acciones para cuidar el planeta;Secundaria;ESO;12-16 años;Microbit;El Ciclo del Agua;https://view.genially.com/6985e68b6cb098c901e83e64/interactive-content-el-ciclo-del-agua;Educación Secundaria, Microbit, Medioambiente, Programación, EFECODES;"El Ciclo del Agua

Contacto
DIFUNDE Y COMPARTE EL TRABAJO EN EL AULA CON EL HASHTAG #EFECODES40

Dispositivo

Nivel y etapa

Evento

Día Mundial del agua

ESO

Micro:bit

Desarrollo

Descripción

Recursos para implementarla

Evidencias

+ info

+ info

+ info

+ info

Servicio de Innovación educativa de JCCM
Descripción de la actividad

La actividad ""El Ciclo del Agua"" es una propuesta del Servicio de Innovación Educativa de JCCM que tiene como objetivos:

    Celebrar el Día del Agua (22 de marzo).
    Programar el acelerómetro de la tarjeta micro:bit.
    Fomentar la creatividad y el pensamiento lógico.

El reto consiste en programar una aplicación utilizando la tarjeta micro:bit para controlar los movimientos de nuestro personaje ""Gota líquida"". Su misión será recorrer el camino del CICLO DEL AGUA pasando por todas las fases: Evaporación, Condensación, Precipitación y Escorrentía. Pero cuidado porque la contaminación puede aparecer en nuestro camino e impedirnos llegar a completar el camino completo
Actividad realizada por Javier Rubio Claramonte

Contacto

nombre@mail.com

Para cualquier duda, contacta con tu DTDR de referencia.
Recursos materiales
Ordenador con conconexión a internet
Guía programación
Placa micro:bit
Descargas

Será necesario entrar en el entorno de programación de Scratch 3.0 (no es necesario registro)
Estarán disponibles en breve
Desarrollo de la actividad

En esta actividad el alumnado programará la tarjeta micro:bit en el entorno de programación Scratch 3.0 para desarrollar una aplicación sobre las fases del Ciclo del Agua mediante el movimiento de un objeto ""Gota"" utilizando el acelerómetro integrado de la micro:bit.

    Preparación inicial de la aplicación en Scratch 3.0: añadiremos las imágenes de los objetos (“Gota líquida”, “Nube” y “Nube negra”, “pez”, “Texto inicial”, “Texto game over”, “Ball” y “Nube contaminación”) y la imagen del fondo de pantalla (“Fondo Ciclo del agua”).
    Conexión de la micro:bit a Scratch 3.0.
    Programación del objeto ""Gota líquida"" para su control desde la micro:bit”.
    Programación de los objetos ""Nube"", ""Nube negra"", “pez”, “Nube contaminación”, “Ball”, “Texto inicial” y “Texto game over” y su interacción con el objeto “Gota líquida”
    Programación del fondo de pantalla ""Fondo ciclo del agua"".
    Solución y mejoras.";"En esta actividad el alumnado programará la tarjeta micro:bit en el entorno de programación Scratch 3.0 para desarrollar una aplicación sobre las fases del Ciclo del Agua mediante el movimiento de un objeto ""Gota"" utilizando el acelerómetro integrado de la micro:bit."
